NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
Kepler-731 b,,0.0485975,0,1.03,1
Kepler-1338 b,,0.018961,0,1.04,0.00215846
Kepler-233 b,,0.0813349,,,0.0188614
Kepler-1530 c,,0.0580264,0,0.92,0.0122275
Kepler-118 b,,0.0751093,,,0.014454
Kepler-1440 b,,0.226831,0,0.98,0.00648186
Kepler-65 c,,0.0685234,,1.25,0.0214237
Kepler-1513 b,,0.576981,0,0.99,0.249782
Kepler-110 b,,0.106481,,,0.013476
HD 11977 b,7.40012,2.063,0.4,2.31,7.40012
Kepler-1192 b,,0.159985,0,0.86,0.0181548
Kepler-1382 b,,0.139726,0,1.36,0.0138656
HD 73534 b,1.06828,3.0184,0.074,1.17,1.06828
Kepler-689 b,,0.150552,0,0.91,0.0250657
Kepler-1643 b,,0.058171,0,0.92,0.0174594
Kepler-195 b,,0.0802786,,,0.0150172
Kepler-498 b,,0.0878909,0,0.98,0.027323
Kepler-50 c,,0.0932375,,1.23,0.0234642
Kepler-863 b,,0.120507,0,0.96,0.0252452
Kepler-1464 b,,0.19765,0,1.02,0.0123008
HD 164604 b,2.6885,1.30299,0.24,0.8,2.6885
Kepler-1356 b,,0.0135188,0,0.82,0.0124263
Kepler-359 b,,0.169831,,,0.0380002
TRAPPIST-1 b,,0.0115051,0,0.089,0.0032
HATS-24 b,2.45019,0.0254851,0,1.212,2.45451
HD 215152 d,0.00881646,0.087995,0,0.77,0.00881646
Kepler-1201 b,,0.125745,0,1.15,0.0173469
HIP 63242 b,,0.563801,0.23,1.54,
Kepler-1594 b,,0.0388448,0,1.06,0.00364938
Kepler-642 b,,0.0589428,0,1.4,0.0252452
Kepler-359 d,,0.354508,,,0.0520795
WASP-142 b,0.82467,0.034771,0,1.33,0.836882
Kepler-115 b,,0.0351175,,,0.00396389
OGLE-05-071L b,,3.54863,,0.46,3.8
OGLE235-MOA53 b,,,,0.63,2.6
HD 37124 c,0.648109,1.70993,0.125,0.85,0.648109
HD 217107 c,2.61546,5.33414,0.517222,1.108,2.61546
Kepler-1323 b,,0.0197027,0,1.18,0.0124263
HD 74156 b,1.77342,0.291535,0.63,1.238,1.77342
Kepler-928 b,,0.0439026,0,0.73,0.0118667
Kepler-180 b,,0.11269,,,0.0117855
HD 103774 b,0.368054,0.070273,0.09,1.335,0.368054
Kepler-43 b,3.21573,0.0449294,0,1.32,3.23143
Kepler-76 b,,0.0278077,0,1.2,2.01
Kepler-310 b,,0.113307,,,0.00538981
Kepler-222 c,,0.0913762,,,0.0710944
Kepler-1154 c,,0.0877495,0,1.26,0.0181548
Kepler-538 b,,0.363618,0,0.96,0.017125
KELT-6 b,0.431127,0.0794132,0.22,1.085,0.43122
WASP-13 b,0.472376,0.0537034,0,1.09,0.473883
Kepler-683 b,,0.035933,0,0.96,0.0145548
Kepler-84 c,,0.107552,,1,0.096
Kepler-918 b,,0.0580906,0,1.11,0.0128259
Kepler-569 b,,0.202661,0,0.95,0.029815
HD 13931 b,1.88123,5.14931,0.02,1.022,1.88123
